GCMD UID	GCMD term	Similarity	SWEET term	SWEET IRI
5beaf99c-0675-4af3-9236-f55d8d206d85	sleet	1.00	sleet	http://sweetontology.net/phenatmoprecipitation/sleet
b51b3708-a662-4cf1-bf13-e67f36b001c4	snow	1.00	snow	http://sweetontology.net/matrwater/snow
1532e590-a62d-46e3-8d03-2351bc48166a	precipitation	1.00	precipitation	http://sweetontology.net/phen/precipitation
1532e590-a62d-46e3-8d03-2351bc48166a	precipitation	1.00	precipitation	http://sweetontology.net/propspacethickness/precipitation
a5ad4f63-7483-4f07-86c7-57037e5faf6c	fog	1.00	fog	http://sweetontology.net/phenatmofog/fog
f24c4f33-5b89-4e8d-8de7-296078a7f18a	lightning	1.00	lightning	http://sweetontology.net/phenatmolightning/lightning
12b7f57f-c295-4adf-97f5-43356f1270bf	lake effect snow	1.00	lake effect snow	http://sweetontology.net/phenatmoprecipitation/lakeeffectsnow
2992d7d3-5ae6-4844-b0fa-4ad348e3a8c2	water spout	1.00	water spout	http://sweetontology.net/phenatmoprecipitation/waterspout
4e845edf-3635-4665-9d9d-d7186c151cda	derecho	1.00	derecho	http://sweetontology.net/phenatmowind/derecho
530ca9b8-50f3-4bd6-82d4-c49fa688a977	gale	1.00	gale	http://sweetontology.net/statephysical/gale
9da19ae9-799f-4885-8fb8-564ca803639a	microburst	1.00	microburst	http://sweetontology.net/phenatmowind/microburst
27275638-546e-4181-b15c-ddc3524de3d5	squall	1.00	squall	http://sweetontology.net/phenatmowindmesoscale/squall
c47f6052-634e-40ef-a5ac-13f69f6f4c2a	atmosphere	1.00	atmosphere	http://sweetontology.net/realm/atmosphere
ea855d4c-f132-44f9-b31c-447e1101684d	fish	1.00	fish	http://sweetontology.net/matranimal/fish
3546cb0a-27a2-4914-85cf-1774b5c4ed19	fungi	1.00	fungi	http://sweetontology.net/matrplant/fungi
d3594523-ba0d-4275-b121-95039f905058	microalgae	1.00	microalgae	http://sweetontology.net/matrmicrobiota/microalgae
28dc7895-3365-4bab-9946-3b247f4137b0	phytoplankton	1.00	phytoplankton	http://sweetontology.net/matrmicrobiota/phytoplankton
a69dd814-e7c0-437f-ba2a-63500f68c9a3	plankton	1.00	plankton	http://sweetontology.net/matrmicrobiota/plankton
f42c849c-7113-4c69-a01e-52ebc5e7b44d	community structure	1.00	community structure	http://sweetontology.net/phenecology/communitystructure
d3c5e3e3-97bf-4e74-9f8d-523dce5f9270	indicator species	1.00	indicator species	http://sweetontology.net/matrbiomass/indicatorspecies
7bfdbe8d-3945-4678-a90b-d2251f973955	invasive species	1.00	invasive species	http://sweetontology.net/phenenvirimpact/invasivespecies
b98b8823-3e95-4383-bbb0-414ee8832112	species recruitment	1.00	species recruitment	http://sweetontology.net/phenecology/speciesrecruitment
e58872a8-6104-4ff8-bbca-4b00ba4b38e8	carbon sequestration	1.00	carbon sequestration	http://sweetontology.net/humanenvircontrol/carbonsequestration
7f8a1613-67b0-4d6a-a9ad-89097c27a052	chemosynthesis	1.00	chemosynthesis	http://sweetontology.net/phenbiol/chemosynthesis
560eac7e-d172-4a31-a659-a3e99d5f61ac	decomposition	1.00	decomposition	http://sweetontology.net/phenbiol/decomposition
7a33a978-8ef6-4313-b489-c06cfc6d9cec	nutrient cycling	1.00	nutrient cycling	http://sweetontology.net/phencyclematerial/nutrientcycling
5fb90409-f9b5-46bc-8a6a-7c42e250c7c3	oxygen demand	1.00	oxygen demand	http://sweetontology.net/propchemical/oxygendemand
07b53dde-6fea-4662-9d03-ccfd617ca710	photosynthesis	1.00	photosynthesis	http://sweetontology.net/phenbiol/photosynthesis
ecd03762-df34-49b7-91f2-d8a51acd270e	primary production	1.00	primary production	http://sweetontology.net/phenecology/primaryproduction
200e9b2d-0201-4f52-9a5e-6dc6c4668ec9	secondary production	1.00	secondary production	http://sweetontology.net/phenecology/secondaryproduction
bd46a0bf-5c06-48af-a6c9-022417b1fffd	trophic dynamics	1.00	trophic dynamics	http://sweetontology.net/phenecology/trophicdynamics
